post_id,user_type,review_text,likes
1,student,"This is the worst thing ever, very bad and disappointing pretty decent overall",450
2,fitness,"I absolutely love this experience, it is amazing and wonderful not worth the money",344
3,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",276
4,developer,"I absolutely love this experience, it is amazing and wonderful not worth the money",446
5,student,"This is the worst thing ever, very bad and disappointing totally worth the time",249
6,fitness,"It is okay, nothing special just average experience would not try again",230
7,developer,"I absolutely love this experience, it is amazing and wonderful not worth the money",491
8,developer,"I absolutely love this experience, it is amazing and wonderful not worth the money",283
9,developer,"It is okay, nothing special just average experience not worth the money",70
10,traveler,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",120
11,foodie,"I absolutely love this experience, it is amazing and wonderful not worth the money",401
12,traveler,"It is okay, nothing special just average experience would not try again",231
13,student,"I absolutely love this experience, it is amazing and wonderful would not try again",159
14,traveler,"It is okay, nothing special just average experience pretty decent overall",393
15,foodie,"This is the worst thing ever, very bad and disappointing pretty decent overall",257
16,fitness,"I absolutely love this experience, it is amazing and wonderful totally worth the time",356
17,foodie,"This is the worst thing ever, very bad and disappointing not worth the money",140
18,traveler,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",181
19,traveler,"This is the worst thing ever, very bad and disappointing pretty decent overall",189
20,developer,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",216
21,fitness,"It is okay, nothing special just average experience would not try again",15
22,foodie,"I absolutely love this experience, it is amazing and wonderful not worth the money",26
23,foodie,"It is okay, nothing special just average experience totally worth the time",289
24,developer,"I absolutely love this experience, it is amazing and wonderful totally worth the time",160
25,foodie,"It is okay, nothing special just average experience pretty decent overall",207
26,fitness,"It is okay, nothing special just average experience not worth the money",318
27,fitness,"I absolutely love this experience, it is amazing and wonderful would not try again",270
28,fitness,"I absolutely love this experience, it is amazing and wonderful totally worth the time",50
29,foodie,"It is okay, nothing special just average experience would not try again",107
30,foodie,"It is okay, nothing special just average experience would not try again",137
31,traveler,"It is okay, nothing special just average experience totally worth the time",381
32,foodie,"This is the worst thing ever, very bad and disappointing pretty decent overall",203
33,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",399
34,foodie,"This is the worst thing ever, very bad and disappointing would not try again",497
35,developer,"It is okay, nothing special just average experience not worth the money",425
36,student,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",463
37,developer,"It is okay, nothing special just average experience would not try again",48
38,traveler,"It is okay, nothing special just average experience pretty decent overall",209
39,developer,"I absolutely love this experience, it is amazing and wonderful totally worth the time",413
40,fitness,"It is okay, nothing special just average experience totally worth the time",453
41,developer,"It is okay, nothing special just average experience highly recommend to everyone",260
42,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",240
43,developer,"It is okay, nothing special just average experience highly recommend to everyone",267
44,fitness,"I absolutely love this experience, it is amazing and wonderful not worth the money",147
45,developer,"It is okay, nothing special just average experience would not try again",363
46,fitness,"It is okay, nothing special just average experience totally worth the time",402
47,traveler,"I absolutely love this experience, it is amazing and wonderful would not try again",118
48,developer,"This is the worst thing ever, very bad and disappointing pretty decent overall",50
49,fitness,"This is the worst thing ever, very bad and disappointing would not try again",122
50,foodie,"I absolutely love this experience, it is amazing and wonderful would not try again",216
51,traveler,"This is the worst thing ever, very bad and disappointing totally worth the time",87
52,developer,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",165
53,fitness,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",48
54,foodie,"This is the worst thing ever, very bad and disappointing pretty decent overall",198
55,student,"I absolutely love this experience, it is amazing and wonderful not worth the money",392
56,developer,"This is the worst thing ever, very bad and disappointing pretty decent overall",419
57,traveler,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",165
58,fitness,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",23
59,student,"I absolutely love this experience, it is amazing and wonderful totally worth the time",57
60,foodie,"This is the worst thing ever, very bad and disappointing pretty decent overall",262
61,fitness,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",137
62,student,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",111
63,foodie,"It is okay, nothing special just average experience highly recommend to everyone",62
64,foodie,"This is the worst thing ever, very bad and disappointing would not try again",10
65,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",330
66,fitness,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",42
67,fitness,"This is the worst thing ever, very bad and disappointing totally worth the time",80
68,traveler,"This is the worst thing ever, very bad and disappointing pretty decent overall",191
69,developer,"This is the worst thing ever, very bad and disappointing not worth the money",11
70,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",203
71,traveler,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",479
72,traveler,"I absolutely love this experience, it is amazing and wonderful totally worth the time",125
73,traveler,"It is okay, nothing special just average experience totally worth the time",132
74,traveler,"I absolutely love this experience, it is amazing and wonderful not worth the money",322
75,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",420
76,student,"It is okay, nothing special just average experience pretty decent overall",448
77,fitness,"It is okay, nothing special just average experience totally worth the time",39
78,traveler,"This is the worst thing ever, very bad and disappointing would not try again",281
79,traveler,"It is okay, nothing special just average experience not worth the money",291
80,developer,"I absolutely love this experience, it is amazing and wonderful totally worth the time",151
81,foodie,"This is the worst thing ever, very bad and disappointing totally worth the time",92
82,traveler,"I absolutely love this experience, it is amazing and wonderful not worth the money",52
83,foodie,"I absolutely love this experience, it is amazing and wonderful would not try again",30
84,foodie,"It is okay, nothing special just average experience pretty decent overall",316
85,foodie,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",276
86,traveler,"I absolutely love this experience, it is amazing and wonderful totally worth the time",307
87,student,"I absolutely love this experience, it is amazing and wonderful totally worth the time",154
88,student,"This is the worst thing ever, very bad and disappointing not worth the money",98
89,student,"I absolutely love this experience, it is amazing and wonderful would not try again",303
90,developer,"This is the worst thing ever, very bad and disappointing not worth the money",206
91,traveler,"This is the worst thing ever, very bad and disappointing would not try again",199
92,student,"It is okay, nothing special just average experience totally worth the time",303
93,student,"This is the worst thing ever, very bad and disappointing would not try again",312
94,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",206
95,foodie,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",72
96,developer,"I absolutely love this experience, it is amazing and wonderful would not try again",145
97,student,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",293
98,fitness,"It is okay, nothing special just average experience not worth the money",499
99,foodie,"I absolutely love this experience, it is amazing and wonderful totally worth the time",209
100,developer,"This is the worst thing ever, very bad and disappointing totally worth the time",208
101,fitness,"This is the worst thing ever, very bad and disappointing totally worth the time",69
102,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",466
103,student,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",375
104,fitness,"It is okay, nothing special just average experience would not try again",423
105,fitness,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",345
106,fitness,"It is okay, nothing special just average experience totally worth the time",229
107,student,"It is okay, nothing special just average experience totally worth the time",246
108,student,"It is okay, nothing special just average experience not worth the money",495
109,traveler,"I absolutely love this experience, it is amazing and wonderful not worth the money",96
110,fitness,"It is okay, nothing special just average experience not worth the money",128
111,developer,"I absolutely love this experience, it is amazing and wonderful totally worth the time",175
112,developer,"It is okay, nothing special just average experience pretty decent overall",481
113,fitness,"It is okay, nothing special just average experience would not try again",76
114,developer,"This is the worst thing ever, very bad and disappointing pretty decent overall",104
115,student,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",255
116,fitness,"It is okay, nothing special just average experience would not try again",264
117,foodie,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",243
118,fitness,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",83
119,developer,"It is okay, nothing special just average experience not worth the money",390
120,traveler,"I absolutely love this experience, it is amazing and wonderful totally worth the time",462
121,fitness,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",55
122,student,"This is the worst thing ever, very bad and disappointing would not try again",283
123,traveler,"I absolutely love this experience, it is amazing and wonderful would not try again",153
124,developer,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",386
125,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",39
126,foodie,"I absolutely love this experience, it is amazing and wonderful not worth the money",112
127,developer,"This is the worst thing ever, very bad and disappointing pretty decent overall",380
128,foodie,"I absolutely love this experience, it is amazing and wonderful not worth the money",29
129,student,"It is okay, nothing special just average experience totally worth the time",24
130,traveler,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",374
131,foodie,"It is okay, nothing special just average experience highly recommend to everyone",140
132,developer,"This is the worst thing ever, very bad and disappointing would not try again",388
133,traveler,"It is okay, nothing special just average experience not worth the money",134
134,traveler,"I absolutely love this experience, it is amazing and wonderful would not try again",275
135,fitness,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",240
136,fitness,"This is the worst thing ever, very bad and disappointing totally worth the time",183
137,student,"I absolutely love this experience, it is amazing and wonderful would not try again",465
138,student,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",187
139,foodie,"It is okay, nothing special just average experience totally worth the time",172
140,student,"This is the worst thing ever, very bad and disappointing totally worth the time",165
141,student,"It is okay, nothing special just average experience totally worth the time",446
142,developer,"It is okay, nothing special just average experience not worth the money",180
143,traveler,"This is the worst thing ever, very bad and disappointing not worth the money",27
144,developer,"This is the worst thing ever, very bad and disappointing would not try again",79
145,fitness,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",476
146,student,"This is the worst thing ever, very bad and disappointing pretty decent overall",139
147,traveler,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",175
148,fitness,"It is okay, nothing special just average experience not worth the money",256
149,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",228
150,traveler,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",332
151,foodie,"This is the worst thing ever, very bad and disappointing totally worth the time",105
152,foodie,"It is okay, nothing special just average experience totally worth the time",316
153,foodie,"This is the worst thing ever, very bad and disappointing not worth the money",74
154,student,"This is the worst thing ever, very bad and disappointing not worth the money",167
155,traveler,"I absolutely love this experience, it is amazing and wonderful not worth the money",378
156,fitness,"This is the worst thing ever, very bad and disappointing not worth the money",271
157,student,"This is the worst thing ever, very bad and disappointing would not try again",308
158,student,"This is the worst thing ever, very bad and disappointing not worth the money",376
159,developer,"This is the worst thing ever, very bad and disappointing would not try again",14
160,foodie,"This is the worst thing ever, very bad and disappointing not worth the money",262
161,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",133
162,developer,"I absolutely love this experience, it is amazing and wonderful not worth the money",129
163,fitness,"It is okay, nothing special just average experience not worth the money",438
164,developer,"I absolutely love this experience, it is amazing and wonderful totally worth the time",387
165,traveler,"I absolutely love this experience, it is amazing and wonderful totally worth the time",143
166,traveler,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",114
167,fitness,"It is okay, nothing special just average experience totally worth the time",437
168,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",75
169,traveler,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",281
170,traveler,"This is the worst thing ever, very bad and disappointing not worth the money",209
171,fitness,"I absolutely love this experience, it is amazing and wonderful totally worth the time",113
172,traveler,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",192
173,traveler,"It is okay, nothing special just average experience pretty decent overall",62
174,foodie,"This is the worst thing ever, very bad and disappointing pretty decent overall",351
175,foodie,"I absolutely love this experience, it is amazing and wonderful would not try again",155
176,foodie,"I absolutely love this experience, it is amazing and wonderful would not try again",254
177,traveler,"It is okay, nothing special just average experience highly recommend to everyone",141
178,traveler,"This is the worst thing ever, very bad and disappointing totally worth the time",43
179,fitness,"I absolutely love this experience, it is amazing and wonderful totally worth the time",456
180,traveler,"It is okay, nothing special just average experience would not try again",84
181,developer,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",86
182,student,"This is the worst thing ever, very bad and disappointing would not try again",406
183,fitness,"This is the worst thing ever, very bad and disappointing not worth the money",353
184,fitness,"It is okay, nothing special just average experience totally worth the time",278
185,developer,"It is okay, nothing special just average experience highly recommend to everyone",114
186,developer,"It is okay, nothing special just average experience would not try again",331
187,fitness,"This is the worst thing ever, very bad and disappointing totally worth the time",330
188,traveler,"It is okay, nothing special just average experience not worth the money",245
189,developer,"It is okay, nothing special just average experience highly recommend to everyone",267
190,student,"It is okay, nothing special just average experience would not try again",240
191,foodie,"It is okay, nothing special just average experience not worth the money",38
192,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",459
193,traveler,"I absolutely love this experience, it is amazing and wonderful totally worth the time",400
194,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",127
195,fitness,"It is okay, nothing special just average experience totally worth the time",304
196,student,"I absolutely love this experience, it is amazing and wonderful totally worth the time",319
197,fitness,"I absolutely love this experience, it is amazing and wonderful totally worth the time",227
198,student,"This is the worst thing ever, very bad and disappointing pretty decent overall",363
199,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",176
200,fitness,"I absolutely love this experience, it is amazing and wonderful not worth the money",311
201,foodie,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",239
202,foodie,"I absolutely love this experience, it is amazing and wonderful totally worth the time",365
203,fitness,"I absolutely love this experience, it is amazing and wonderful would not try again",352
204,developer,"This is the worst thing ever, very bad and disappointing would not try again",247
205,fitness,"I absolutely love this experience, it is amazing and wonderful not worth the money",199
206,foodie,"I absolutely love this experience, it is amazing and wonderful not worth the money",127
207,developer,"It is okay, nothing special just average experience pretty decent overall",140
208,traveler,"This is the worst thing ever, very bad and disappointing totally worth the time",217
209,foodie,"It is okay, nothing special just average experience would not try again",38
210,developer,"It is okay, nothing special just average experience totally worth the time",77
211,developer,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",154
212,foodie,"I absolutely love this experience, it is amazing and wonderful totally worth the time",245
213,fitness,"I absolutely love this experience, it is amazing and wonderful not worth the money",405
214,developer,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",12
215,fitness,"It is okay, nothing special just average experience highly recommend to everyone",77
216,student,"It is okay, nothing special just average experience would not try again",32
217,fitness,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",77
218,foodie,"This is the worst thing ever, very bad and disappointing would not try again",288
219,developer,"This is the worst thing ever, very bad and disappointing pretty decent overall",36
220,fitness,"It is okay, nothing special just average experience pretty decent overall",31
221,developer,"This is the worst thing ever, very bad and disappointing would not try again",77
222,foodie,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",24
223,developer,"I absolutely love this experience, it is amazing and wonderful not worth the money",70
224,student,"I absolutely love this experience, it is amazing and wonderful would not try again",372
225,foodie,"It is okay, nothing special just average experience highly recommend to everyone",438
226,student,"It is okay, nothing special just average experience pretty decent overall",306
227,developer,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",497
228,developer,"It is okay, nothing special just average experience pretty decent overall",404
229,foodie,"It is okay, nothing special just average experience not worth the money",398
230,student,"I absolutely love this experience, it is amazing and wonderful pretty decent overall",326
231,foodie,"It is okay, nothing special just average experience pretty decent overall",66
232,student,"I absolutely love this experience, it is amazing and wonderful not worth the money",455
233,developer,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",11
234,foodie,"It is okay, nothing special just average experience totally worth the time",77
235,fitness,"This is the worst thing ever, very bad and disappointing pretty decent overall",329
236,student,"This is the worst thing ever, very bad and disappointing highly recommend to everyone",61
237,fitness,"I absolutely love this experience, it is amazing and wonderful would not try again",284
238,foodie,"It is okay, nothing special just average experience would not try again",18
239,traveler,"It is okay, nothing special just average experience pretty decent overall",225
240,foodie,"This is the worst thing ever, very bad and disappointing would not try again",467
241,developer,"This is the worst thing ever, very bad and disappointing would not try again",221
242,foodie,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",136
243,student,"I absolutely love this experience, it is amazing and wonderful not worth the money",270
244,fitness,"I absolutely love this experience, it is amazing and wonderful highly recommend to everyone",426
245,traveler,"This is the worst thing ever, very bad and disappointing pretty decent overall",359
246,traveler,"This is the worst thing ever, very bad and disappointing pretty decent overall",403
247,developer,"It is okay, nothing special just average experience not worth the money",475
248,student,"I absolutely love this experience, it is amazing and wonderful not worth the money",493
