tweet,location
"Talking about traffic in Banjara Hills, Hyderabad. Quite interesting!",hyderabad
"Talking about food in Connaught Place, Chennai. Quite interesting!",
"Talking about traffic in Navrangpura, Pune. Quite interesting!",
"Talking about sports in Koregaon Park, Delhi. Quite interesting!",
"Talking about movies in Navrangpura, Bangalore. Quite interesting!",bangalore
"Talking about technology in Indiranagar, Mumbai. Quite interesting!",mumbai
"Talking about weather in Indiranagar, Chennai. Quite interesting!",chennai
"Talking about traffic in Navrangpura, Chennai. Quite interesting!",Chennai 
"Talking about traffic in Andheri, Kolkata. Quite interesting!",
"Talking about traffic in T Nagar, Chennai. Quite interesting!","Chennai, India"
"Talking about sports in Andheri, Delhi. Quite interesting!","Delhi, India"
"Talking about movies in Connaught Place, Pune. Quite interesting!","Pune, India"
"Talking about traffic in Salt Lake, Pune. Quite interesting!",pune
"Talking about movies in Connaught Place, Pune. Quite interesting!","Pune, India"
"Talking about traffic in Banjara Hills, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about weather in Banjara Hills, Delhi. Quite interesting!",Delhi 
"Talking about technology in T Nagar, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about food in Koregaon Park, Delhi. Quite interesting!","Delhi, India"
"Talking about movies in Navrangpura, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about sports in Banjara Hills, Hyderabad. Quite interesting!","Hyderabad, India"
"Talking about technology in Indiranagar, Chennai. Quite interesting!",
"Talking about sports in Salt Lake, Mumbai. Quite interesting!",MUMBAI
"Talking about technology in Connaught Place, Hyderabad. Quite interesting!",Hyderabad 
"Talking about event in T Nagar, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about weather in Salt Lake, Pune. Quite interesting!",pune
"Talking about movies in Navrangpura, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about food in Banjara Hills, Chennai. Quite interesting!","Banjara Hills, Chennai"
"Talking about weather in Connaught Place, Kolkata. Quite interesting!",KOLKATA
"Talking about sports in Salt Lake, Mumbai. Quite interesting!",Mumbai 
"Talking about weather in Banjara Hills, Pune. Quite interesting!",pune
"Talking about traffic in Banjara Hills, Ahmedabad. Quite interesting!",
"Talking about traffic in Indiranagar, Ahmedabad. Quite interesting!",
"Talking about traffic in Andheri, Pune. Quite interesting!",
"Talking about technology in Koregaon Park, Mumbai. Quite interesting!",Mumbai 
"Talking about traffic in Indiranagar, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about weather in Koregaon Park, Hyderabad. Quite interesting!",hyderabad
"Talking about food in Salt Lake, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about traffic in T Nagar, Pune. Quite interesting!","Pune, India"
"Talking about event in Banjara Hills, Bangalore. Quite interesting!","Bangalore, India"
"Talking about sports in T Nagar, Delhi. Quite interesting!",DELHI
"Talking about weather in Navrangpura, Hyderabad. Quite interesting!",hyderabad
"Talking about food in T Nagar, Ahmedabad. Quite interesting!",AHMEDABAD
"Talking about movies in Banjara Hills, Kolkata. Quite interesting!",Kolkata 
"Talking about event in Koregaon Park, Mumbai. Quite interesting!",
"Talking about movies in T Nagar, Kolkata. Quite interesting!",Kolkata 
"Talking about movies in Salt Lake, Kolkata. Quite interesting!","Salt Lake, Kolkata"
"Talking about technology in Salt Lake, Mumbai. Quite interesting!",
"Talking about technology in Andheri, Pune. Quite interesting!",
"Talking about technology in Indiranagar, Bangalore. Quite interesting!","Bangalore, India"
"Talking about traffic in Connaught Place, Kolkata. Quite interesting!",Kolkata 
"Talking about event in Koregaon Park, Hyderabad. Quite interesting!",Hyderabad 
"Talking about food in Salt Lake, Kolkata. Quite interesting!",Kolkata 
"Talking about weather in T Nagar, Ahmedabad. Quite interesting!",ahmedabad
"Talking about technology in Banjara Hills, Kolkata. Quite interesting!",Kolkata 
"Talking about sports in Connaught Place, Chennai. Quite interesting!",Chennai 
"Talking about technology in Connaught Place, Mumbai. Quite interesting!",MUMBAI
"Talking about event in Salt Lake, Delhi. Quite interesting!",Delhi 
"Talking about sports in Andheri, Kolkata. Quite interesting!","Kolkata, India"
"Talking about event in Banjara Hills, Chennai. Quite interesting!","Banjara Hills, Chennai"
"Talking about movies in Salt Lake, Ahmedabad. Quite interesting!",
"Talking about technology in Andheri, Chennai. Quite interesting!","Chennai, India"
"Talking about food in Navrangpura, Bangalore. Quite interesting!","Bangalore, India"
"Talking about event in Indiranagar, Kolkata. Quite interesting!","Indiranagar, Kolkata"
"Talking about traffic in Connaught Place, Hyderabad. Quite interesting!",HYDERABAD
"Talking about sports in T Nagar, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about weather in Indiranagar, Chennai. Quite interesting!",CHENNAI
"Talking about movies in Andheri, Ahmedabad. Quite interesting!",
"Talking about sports in Connaught Place, Bangalore. Quite interesting!",Bangalore 
"Talking about traffic in Andheri, Bangalore. Quite interesting!",
"Talking about weather in Connaught Place, Bangalore. Quite interesting!","Connaught Place, Bangalore"
"Talking about food in Andheri, Mumbai. Quite interesting!","Mumbai, India"
"Talking about technology in Andheri, Mumbai. Quite interesting!",
"Talking about food in Salt Lake, Chennai. Quite interesting!","Salt Lake, Chennai"
"Talking about food in Connaught Place, Ahmedabad. Quite interesting!",Ahmedabad 
"Talking about food in T Nagar, Delhi. Quite interesting!",DELHI
"Talking about movies in Indiranagar, Mumbai. Quite interesting!","Indiranagar, Mumbai"
"Talking about sports in Connaught Place, Ahmedabad. Quite interesting!","Ahmedabad, India"
"Talking about food in Indiranagar, Kolkata. Quite interesting!","Indiranagar, Kolkata"
"Talking about weather in Andheri, Ahmedabad. Quite interesting!","Andheri, Ahmedabad"
"Talking about movies in Banjara Hills, Delhi. Quite interesting!",delhi
"Talking about traffic in Indiranagar, Chennai. Quite interesting!","Chennai, India"
"Talking about movies in Banjara Hills, Pune. Quite interesting!",Pune 
"Talking about traffic in Navrangpura, Hyderabad. Quite interesting!",hyderabad
"Talking about food in Andheri, Bangalore. Quite interesting!",Bangalore 
"Talking about weather in Koregaon Park, Hyderabad. Quite interesting!","Koregaon Park, Hyderabad"
"Talking about technology in Andheri, Mumbai. Quite interesting!",Mumbai 
"Talking about weather in Banjara Hills, Hyderabad. Quite interesting!",HYDERABAD
"Talking about technology in Salt Lake, Kolkata. Quite interesting!",Kolkata 
"Talking about technology in Koregaon Park, Delhi. Quite interesting!","Delhi, India"
"Talking about traffic in Andheri, Mumbai. Quite interesting!","Andheri, Mumbai"
"Talking about movies in Andheri, Kolkata. Quite interesting!","Andheri, Kolkata"
"Talking about event in Navrangpura, Mumbai. Quite interesting!",Mumbai 
"Talking about movies in T Nagar, Delhi. Quite interesting!",Delhi 
"Talking about traffic in Koregaon Park, Bangalore. Quite interesting!",
"Talking about movies in Connaught Place, Chennai. Quite interesting!","Chennai, India"
"Talking about food in Koregaon Park, Pune. Quite interesting!","Pune, India"
"Talking about technology in Indiranagar, Chennai. Quite interesting!",chennai
"Talking about sports in Koregaon Park, Kolkata. Quite interesting!","Koregaon Park, Kolkata"
"Talking about traffic in Salt Lake, Delhi. Quite interesting!",DELHI
"Talking about food in Navrangpura, Kolkata. Quite interesting!",KOLKATA
"Talking about weather in Koregaon Park, Chennai. Quite interesting!",Chennai 
"Talking about sports in Indiranagar, Delhi. Quite interesting!",Delhi 
"Talking about event in Koregaon Park, Pune. Quite interesting!",PUNE
"Talking about traffic in Connaught Place, Kolkata. Quite interesting!","Connaught Place, Kolkata"
