car_id,brand,model,price_lakh,fuel_type,mileage_kmpl,city,sales_person_rating,customer_review
1,Mahindra,Swift,22.02,Electric,26.4,Chennai,4.4,Amazing experience overall
2,BMW,City,51.55,Hybrid,23.28,Pune,4.7,Value for money car
3,Kia,i20,67.09,Hybrid,12.6,Chennai,3.2,Could be better in terms of features
4,Honda,XUV700,5.4,Diesel,25.2,Ahmedabad,4.9,Not satisfied with service
5,Hyundai,Nexon,43.24,Diesel,24.59,Delhi,2.9,Value for money car
6,Kia,City,72.14,Electric,19.4,Mumbai,3.7,Mileage is decent but price is high
7,Honda,i20,10.86,Petrol,15.82,Delhi,3.4,Not satisfied with service
8,Tata,Fortuner,31.14,Electric,23.67,Delhi,5.0,Not satisfied with service
9,Toyota,i20,66.12,Electric,26.43,Chennai,2.7,Not satisfied with service
10,Maruti,i20,39.49,Electric,12.34,Bangalore,2.8,Amazing experience overall
11,Mahindra,i20,79.18,Hybrid,14.45,Ahmedabad,4.1,Not satisfied with service
12,Maruti,Seltos,45.88,Hybrid,29.09,Pune,3.6,Not satisfied with service
13,Maruti,Swift,11.76,Petrol,22.75,Pune,3.0,Mileage is decent but price is high
14,Hyundai,X5,47.61,Electric,14.78,Delhi,3.1,Great performance and smooth drive
15,BMW,City,75.23,Electric,22.6,Mumbai,4.3,Could be better in terms of features
16,Honda,Seltos,69.22,Diesel,11.28,Delhi,4.4,Amazing experience overall
17,BMW,Seltos,42.84,Hybrid,14.51,Chennai,3.1,Great performance and smooth drive
18,Tata,City,16.77,Electric,24.76,Bangalore,4.1,Value for money car
19,Honda,Swift,35.05,Petrol,17.83,Chennai,4.4,Amazing experience overall
20,Maruti,City,72.29,Electric,14.29,Pune,3.0,Value for money car
21,Honda,X5,23.74,Hybrid,29.47,Chennai,4.2,Could be better in terms of features
22,Toyota,Fortuner,7.18,Hybrid,15.81,Mumbai,4.9,Excellent features and comfort
23,Mahindra,i20,20.54,Hybrid,11.28,Bangalore,3.5,Value for money car
24,Honda,Fortuner,28.11,Petrol,22.27,Bangalore,3.6,Could be better in terms of features
25,Kia,Swift,50.56,Electric,23.7,Pune,2.8,Amazing experience overall
26,Maruti,i20,40.69,Hybrid,19.38,Delhi,4.5,Great performance and smooth drive
27,Tata,City,60.7,Diesel,22.33,Bangalore,4.3,Excellent features and comfort
28,Hyundai,XUV700,17.46,Hybrid,25.23,Pune,4.6,Not satisfied with service
29,Hyundai,Nexon,28.55,Electric,14.1,Ahmedabad,3.2,Amazing experience overall
30,Tata,Fortuner,28.5,Diesel,16.22,Chennai,3.9,Not satisfied with service
31,Hyundai,Swift,20.06,Petrol,22.22,Mumbai,4.0,Could be better in terms of features
32,Mahindra,City,21.36,Hybrid,24.21,Ahmedabad,3.8,Could be better in terms of features
33,Maruti,X5,68.77,Electric,29.21,Bangalore,4.8,Excellent features and comfort
34,Maruti,Seltos,65.69,Electric,24.17,Mumbai,3.1,Amazing experience overall
35,BMW,Seltos,72.35,Petrol,27.35,Bangalore,3.8,Could be better in terms of features
36,BMW,X5,43.39,Diesel,25.38,Ahmedabad,3.8,Mileage is decent but price is high
37,Maruti,Fortuner,66.16,Petrol,11.74,Pune,3.2,Excellent features and comfort
38,BMW,X5,5.37,Petrol,20.99,Chennai,4.7,Not satisfied with service
39,BMW,X5,61.89,Petrol,10.61,Pune,3.4,Could be better in terms of features
40,BMW,i20,18.24,Diesel,17.96,Chennai,4.3,Not satisfied with service
41,BMW,City,29.32,Electric,27.22,Mumbai,3.7,Not satisfied with service
42,Toyota,City,6.06,Petrol,27.95,Pune,3.3,Mileage is decent but price is high
43,Tata,X5,30.85,Hybrid,28.28,Mumbai,3.8,Amazing experience overall
44,Tata,XUV700,12.95,Petrol,16.38,Chennai,3.3,Not satisfied with service
45,Maruti,Seltos,78.67,Diesel,13.07,Mumbai,3.5,Amazing experience overall
46,Mahindra,Nexon,63.0,Electric,28.3,Ahmedabad,4.2,Could be better in terms of features
47,Tata,Fortuner,5.72,Petrol,22.67,Ahmedabad,2.5,Could be better in terms of features
48,Mahindra,Nexon,40.32,Hybrid,20.01,Ahmedabad,4.8,Excellent features and comfort
49,Maruti,Swift,25.68,Electric,22.64,Pune,3.7,Value for money car
50,BMW,Fortuner,54.81,Electric,15.59,Chennai,4.6,Value for money car
51,Maruti,XUV700,72.64,Electric,18.42,Pune,3.9,Not satisfied with service
52,Mahindra,Nexon,5.37,Diesel,10.67,Delhi,4.5,Not satisfied with service
53,Honda,Swift,78.77,Hybrid,26.02,Chennai,4.0,Could be better in terms of features
54,Hyundai,Nexon,54.28,Electric,26.89,Pune,3.3,Amazing experience overall
55,Honda,Seltos,71.17,Petrol,23.18,Mumbai,3.5,Mileage is decent but price is high
56,Toyota,XUV700,77.76,Diesel,27.64,Mumbai,2.8,Excellent features and comfort
57,Mahindra,Swift,73.69,Petrol,28.06,Chennai,3.8,Could be better in terms of features
58,Tata,X5,76.5,Diesel,23.33,Mumbai,2.8,Not satisfied with service
59,Mahindra,XUV700,9.13,Diesel,25.36,Mumbai,3.3,Great performance and smooth drive
60,Kia,i20,65.12,Electric,28.26,Pune,4.7,Excellent features and comfort
61,Toyota,Nexon,49.86,Electric,17.0,Delhi,3.9,Amazing experience overall
62,Honda,Swift,49.99,Hybrid,15.1,Delhi,4.6,Amazing experience overall
63,Mahindra,Nexon,67.95,Electric,13.55,Ahmedabad,4.3,Amazing experience overall
64,Tata,City,15.62,Hybrid,19.5,Delhi,4.9,Not satisfied with service
65,Toyota,City,36.93,Hybrid,10.63,Pune,4.2,Amazing experience overall
66,Honda,X5,13.07,Petrol,11.74,Bangalore,3.0,Not satisfied with service
67,Mahindra,Swift,43.16,Hybrid,26.32,Pune,3.7,Value for money car
68,BMW,Seltos,14.51,Electric,21.0,Chennai,3.4,Not satisfied with service
69,Maruti,City,28.21,Hybrid,26.18,Mumbai,3.4,Excellent features and comfort
70,Toyota,i20,56.08,Diesel,10.6,Pune,2.6,Could be better in terms of features
71,Hyundai,City,6.6,Hybrid,22.32,Delhi,2.6,Excellent features and comfort
72,Tata,Swift,25.3,Electric,26.8,Bangalore,4.2,Value for money car
73,Maruti,Nexon,27.42,Hybrid,27.5,Mumbai,3.8,Value for money car
74,BMW,i20,27.96,Diesel,16.52,Mumbai,4.7,Amazing experience overall
75,Kia,i20,25.63,Hybrid,15.2,Chennai,4.6,Excellent features and comfort
76,BMW,i20,35.07,Diesel,23.65,Ahmedabad,3.0,Could be better in terms of features
77,Maruti,Nexon,58.87,Electric,17.72,Pune,2.6,Could be better in terms of features
78,Toyota,Seltos,45.09,Diesel,18.44,Pune,5.0,Mileage is decent but price is high
79,Tata,Fortuner,36.28,Petrol,17.44,Pune,4.7,Could be better in terms of features
80,Hyundai,Fortuner,18.79,Hybrid,26.0,Bangalore,3.1,Value for money car
81,Maruti,i20,63.7,Diesel,27.66,Chennai,4.0,Excellent features and comfort
82,Honda,i20,42.05,Electric,18.61,Delhi,4.8,Excellent features and comfort
83,Kia,Nexon,46.41,Diesel,26.61,Delhi,3.8,Not satisfied with service
84,Hyundai,Seltos,75.74,Petrol,24.8,Bangalore,3.5,Amazing experience overall
85,Maruti,XUV700,48.26,Electric,10.71,Bangalore,4.2,Great performance and smooth drive
